07-04-2026 15:29:12 | GET | cafeteria-api/categorias
07-04-2026 15:29:16 | OPTIONS | cafeteria-api/categorias/4
07-04-2026 15:29:16 | DELETE | cafeteria-api/categorias/4
07-04-2026 15:29:16 | GET | cafeteria-api/categorias
07-04-2026 15:29:25 | GET | cafeteria-api/produtos
07-04-2026 15:29:25 | GET | cafeteria-api/categorias
07-04-2026 15:35:22 | GET | cafeteria-api/produtos
07-04-2026 15:35:22 | GET | cafeteria-api/categorias
07-04-2026 15:35:23 | GET | cafeteria-api/produtos
07-04-2026 15:35:23 | GET | cafeteria-api/categorias
07-04-2026 15:43:00 | GET | cafeteria-api/produtos
s
07-04-2026 15:43:00 | GET | cafeteria-api/pedidos
07-04-2026 15:43:59 | GET | cafeteria-api/pedidos
07-04-2026 15:48:27 | GET | cafeteria-api/pedidos
07-04-2026 15:52:37 | GET | cafeteria-api/pedidos
07-04-2026 15:53:50 | GET | cafeteria-api/pedidos
07-04-2026 15:53:52 | POST | cafeteria-api/pedidos
07-04-2026 15:54:03 | POST | cafeteria-api/pedidos
07-04-2026 15:54:05 | GET | cafeteria-api/pedidos
07-04-2026 15:54:12 | GET | cafeteria-api/pedidos
07-04-2026 15:54:15 | GET | cafeteria-api/pedidos
07-04-2026 15:54:38 | GET | cafeteria-api/pedidos
07-04-2026 15:55:38 | GET | cafeteria-api/pedidos
07-04-2026 15:55:39 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 15:55:39 | DELETE | cafeteria-api/pedidos/3
07-04-2026 15:55:39 | GET | cafeteria-api/pedidos
07-04-2026 15:55:39 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 15:55:39 | DELETE | cafeteria-api/pedidos/3
07-04-2026 15:55:39 | GET | cafeteria-api/pedidos
07-04-2026 15:55:40 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 15:55:40 | DELETE | cafeteria-api/pedidos/3
07-04-2026 15:55:40 | GET | cafeteria-api/pedidos
07-04-2026 15:55:40 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 15:55:40 | DELETE | cafeteria-api/pedidos/3
07-04-2026 15:55:40 | GET | cafeteria-api/pedidos
07-04-2026 15:55:41 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 15:55:41 | DELETE | cafeteria-api/pedidos/3
07-04-2026 15:55:41 | GET | cafeteria-api/pedidos
07-04-2026 15:55:41 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 15:55:41 | DELETE | cafeteria-api/pedidos/3
07-04-2026 15:55:41 | GET | cafeteria-api/pedidos
07-04-2026 15:55:41 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 15:55:41 | DELETE | cafeteria-api/pedidos/3
07-04-2026 15:55:41 | GET | cafeteria-api/pedidos
07-04-2026 15:55:41 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 15:55:41 | DELETE | cafeteria-api/pedidos/3
07-04-2026 15:55:41 | GET | cafeteria-api/pedidos
07-04-2026 15:55:41 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 15:55:41 | DELETE | cafeteria-api/pedidos/3
07-04-2026 15:55:42 | GET | cafeteria-api/pedidos
07-04-2026 15:55:42 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 15:55:42 | DELETE | cafeteria-api/pedidos/3
07-04-2026 15:55:42 | GET | cafeteria-api/pedidos
07-04-2026 15:55:42 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 15:55:42 | DELETE | cafeteria-api/pedidos/3
07-04-2026 15:55:42 | GET | cafeteria-api/pedidos
07-04-2026 15:55:43 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 15:55:43 | DELETE | cafeteria-api/pedidos/3
07-04-2026 15:55:43 | GET | cafeteria-api/pedidos
07-04-2026 15:55:43 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 15:55:43 | DELETE | cafeteria-api/pedidos/3
07-04-2026 15:55:43 | GET | cafeteria-api/pedidos
07-04-2026 15:55:43 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 15:55:43 | DELETE | cafeteria-api/pedidos/3
07-04-2026 15:55:43 | GET | cafeteria-api/pedidos
07-04-2026 15:55:43 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 15:55:43 | DELETE | cafeteria-api/pedidos/3
07-04-2026 15:55:43 | GET | cafeteria-api/pedidos
07-04-2026 15:55:43 | OPTIONS | cafeteria-api/pedidos/3
07-04-2026 15:55:43 | DELETE | cafeteria-api/pedidos/3
07-04-2026 15:55:43 | GET | cafeteria-api/pedidos
07-04-2026 15:57:21 | GET | cafeteria-api/pedidos
07-04-2026 15:57:52 | OPTIONS | cafeteria-api/pedidos/2
07-04-2026 15:57:52 | DELETE | cafeteria-api/pedidos/2
07-04-2026 15:57:52 | GET | cafeteria-api/pedidos
07-04-2026 15:57:53 | OPTIONS | cafeteria-api/pedidos/2
07-04-2026 15:57:53 | DELETE | cafeteria-api/pedidos/2
07-04-2026 15:57:53 | GET | cafeteria-api/pedidos
07-04-2026 15:57:54 | OPTIONS | cafeteria-api/pedidos/2
07-04-2026 15:57:54 | DELETE | cafeteria-api/pedidos/2
07-04-2026 15:57:54 | GET | cafeteria-api/pedidos
07-04-2026 15:57:54 | OPTIONS | cafeteria-api/pedidos/2
07-04-2026 15:57:54 | DELETE | cafeteria-api/pedidos/2
07-04-2026 15:57:54 | GET | cafeteria-api/pedidos
07-04-2026 15:58:46 | OPTIONS | cafeteria-api/pedidos/1
07-04-2026 15:58:46 | DELETE | cafeteria-api/pedidos/1
07-04-2026 15:58:46 | GET | cafeteria-api/pedidos
07-04-2026 15:58:47 | OPTIONS | cafeteria-api/pedidos/1
07-04-2026 15:58:47 | DELETE | cafeteria-api/pedidos/1
07-04-2026 15:58:47 | GET | cafeteria-api/pedidos
07-04-2026 15:58:47 | OPTIONS | cafeteria-api/pedidos/1
07-04-2026 15:58:47 | DELETE | cafeteria-api/pedidos/1
07-04-2026 15:58:47 | GET | cafeteria-api/pedidos
07-04-2026 16:02:38 | GET | cafeteria-api/pedidos
07-04-2026 16:03:39 | GET | cafeteria-api/pedidos
07-04-2026 16:04:48 | OPTIONS | cafeteria-api/pedidos/2
07-04-2026 16:04:48 | DELETE | cafeteria-api/pedidos/2
07-04-2026 16:04:48 | GET | cafeteria-api/pedidos
07-04-2026 16:04:49 | OPTIONS | cafeteria-api/pedidos/2
07-04-2026 16:04:49 | DELETE | cafeteria-api/pedidos/2
07-04-2026 16:04:49 | GET | cafeteria-api/pedidos
07-04-2026 16:04:49 | OPTIONS | cafeteria-api/pedidos/2
07-04-2026 16:04:49 | DELETE | cafeteria-api/pedidos/2
