2026-04-10 18:47:04 | PUT | meus-planos-api/itens/9
2026-04-10 18:47:04 | GET | meus-planos-api/itens
2026-04-10 18:47:05 | OPTIONS | meus-planos-api/itens/9
2026-04-10 18:47:05 | PUT | meus-planos-api/itens/9
2026-04-10 18:47:05 | GET | meus-planos-api/itens
2026-04-10 18:47:05 | OPTIONS | meus-planos-api/itens/9
2026-04-10 18:47:05 | PUT | meus-planos-api/itens/9
2026-04-10 18:47:05 | GET | meus-planos-api/itens
2026-04-10 18:47:05 | OPTIONS | meus-planos-api/itens/9
2026-04-10 18:47:05 | PUT | meus-planos-api/itens/9
2026-04-10 18:47:05 | GET | meus-planos-api/itens
2026-04-10 18:47:06 | OPTIONS | meus-planos-api/itens/9
2026-04-10 18:47:06 | PUT | meus-planos-api/itens/9
2026-04-10 18:47:06 | GET | meus-planos-api/itens
2026-04-10 19:17:01 | GET | meus-planos-api/itens
2026-04-10 19:17:11 | DELETE | meus-planos-api/itens/7
2026-04-10 19:17:14 | DELETE | meus-planos-api/itens/8
2026-04-10 19:17:16 | DELETE | meus-planos-api/itens/9
2026-04-10 19:25:10 | GET | meus-planos-api/itens
rias
2026-04-10 19:25:14 | GET | meus-planos-api/categorias
2026-04-10 19:25:19 | POST | meus-planos-api/categorias
2026-04-10 19:25:19 | GET | meus-planos-api/categorias
2026-04-10 19:25:20 | GET | meus-planos-api/itens
rias
2026-04-10 19:25:24 | POST | meus-planos-api/itens
2026-04-10 19:25:24 | GET | meus-planos-api/itens
2026-04-10 19:25:27 | OPTIONS | meus-planos-api/itens/13
2026-04-10 19:25:27 | DELETE | meus-planos-api/itens/13
2026-04-10 19:25:27 | GET | meus-planos-api/itens
2026-04-10 19:25:28 | GET | meus-planos-api/categorias
2026-04-10 19:25:30 | OPTIONS | meus-planos-api/categorias/13
2026-04-10 19:25:30 | DELETE | meus-planos-api/categorias/13
2026-04-10 19:25:30 | GET | meus-planos-api/categorias
2026-04-10 19:25:40 | GET | meus-planos-api/categorias
2026-04-10 19:25:40 | GET | meus-planos-api/itens
2026-04-10 19:31:22 | POST | meus-planos-api/itens
2026-04-10 19:31:22 | GET | meus-planos-api/itens
2026-04-10 19:31:31 | POST | meus-planos-api/itens
2026-04-10 19:31:31 | GET | meus-planos-api/itens
2026-04-10 19:31:38 | POST | meus-planos-api/itens
2026-04-10 19:31:38 | GET | meus-planos-api/itens
2026-04-10 19:31:41 | OPTIONS | meus-planos-api/itens/16
2026-04-10 19:31:41 | PUT | meus-planos-api/itens/16
2026-04-10 19:31:41 | GET | meus-planos-api/itens
2026-04-10 19:59:36 | GET | meus-planos-api/categorias
2026-04-10 19:59:52 | GET | meus-planos-api/categorias
2026-04-10 20:00:14 | GET | meus-planos-api/categorias
2026-04-10 20:01:46 | GET | meus-planos-api/categorias
2026-04-10 20:01:54 | GET | meus-planos-api/itens
2026-04-10 20:07:06 | GET | meus-planos-api/categorias
2026-04-10 20:18:26 | GET | meus-planos-api/categorias
2026-04-10 20:18:35 | POST | meus-planos-api/categorias
2026-04-10 20:18:37 | POST | meus-planos-api/categorias
2026-04-10 20:18:38 | POST | meus-planos-api/categorias
2026-04-10 20:18:38 | POST | meus-planos-api/categorias
2026-04-10 20:18:38 | POST | meus-planos-api/categorias
2026-04-10 20:18:39 | POST | meus-planos-api/categorias
